?.Name,$CrashAmount,$Churn,$Unique,$>SecurityFlaw
js/src/jsgc.cpp,79705,708,49,1
layout/generic/nsFrame.cpp,73405,291,55,1
js/src/jsobj.cpp,71040,1041,62,1
js/src/xpconnect/src/xpcwrappednative.cpp,51309,161,28,1
xpcom/io/nsLocalFileWin.cpp,41783,59,22,1
layout/generic/nsObjectFrame.cpp,39853,276,58,1
modules/plugin/base/src/nsJSNPRuntime.cpp,37226,31,14,1
js/src/jstracer.cpp,36076,855,56,1
js/src/jsapi.cpp,35671,1019,82,1
js/src/jsinterp.cpp,28912,993,55,1
dom/base/nsGlobalWindow.h,28778,205,63,1
js/src/jsscript.cpp,28047,455,38,1
content/base/src/nsGenericElement.cpp,21762,332,58,1
js/src/jsparse.cpp,21499,383,33,1
js/src/jsscope.cpp,20756,284,32,1
modules/plugin/base/src/nsPluginHost.cpp,20731,82,24,1
js/src/xpconnect/src/nsXPConnect.cpp,17290,242,42,1
docshell/base/nsDocShell.cpp,15446,278,65,1
modules/libpr0n/src/imgRequest.cpp,13414,75,23,1
js/src/jsfun.cpp,12982,659,44,1
js/src/jsemit.cpp,12585,298,33,1
layout/base/nsPresShell.cpp,12274,466,86,1
dom/base/nsGlobalWindow.cpp,12093,641,118,1
layout/generic/nsTextFrameThebes.cpp,11989,218,46,1
layout/generic/nsBlockFrame.cpp,10578,145,25,1
xpcom/string/src/nsTSubstring.cpp,10370,19,12,1
content/base/src/nsDocument.cpp,9531,459,84,1
content/base/src/nsContentUtils.cpp,9400,397,101,1
layout/base/nsFrameManager.cpp,9307,58,18,1
js/src/jsstr.cpp,8748,462,46,1
caps/src/nsScriptSecurityManager.cpp,8686,89,32,1
js/src/jscompartment.cpp,8560,384,41,1
layout/base/nsCSSFrameConstructor.cpp,8313,295,53,1
js/src/xpconnect/src/xpcwrappedjsclass.cpp,7592,56,20,1
js/src/jsregexp.cpp,6684,193,32,1
js/src/xpconnect/wrappers/WrapperFactory.cpp,5701,100,16,1
dom/base/nsDOMClassInfo.cpp,5455,698,99,1
modules/plugin/base/src/nsNPAPIPlugin.cpp,5036,67,28,1
js/src/jsarray.cpp,4083,543,51,1
gfx/thebes/src/gfxWindowsFonts.cpp,3971,0,0,1
content/events/src/nsEventStateManager.cpp,3967,174,49,1
js/src/jsopcode.cpp,3927,395,41,1
js/src/jsobj.h,3913,649,48,1
dom/base/nsFocusManager.cpp,3676,83,33,1
js/src/jscntxt.cpp,3506,509,55,1
layout/style/nsCSSParser.cpp,3481,194,46,1
js/src/jsinfer.cpp,3400,451,35,1
content/base/src/nsNodeUtils.cpp,3380,87,24,1
content/html/document/src/nsHTMLDocument.cpp,3349,194,54,1
content/xul/content/src/nsXULElement.cpp,3236,118,35,1
layout/generic/nsContainerFrame.cpp,3198,57,23,1
dom/base/nsJSEnvironment.cpp,3136,461,72,1
security/nss/lib/ssl/sslsecur.c,2904,11,3,1
layout/base/nsPresContext.cpp,2894,156,49,1
security/nss/lib/pk11wrap/pk11auth.c,2845,3,2,1
dom/plugins/PluginInstanceParent.cpp,2780,44,15,1
dom/src/base/nsGlobalWindow.h,2754,0,0,1
js/src/jsscan.cpp,2622,100,18,1
uriloader/exthandler/nsExternalHelperAppService.cpp,2584,71,35,1
layout/generic/nsSelection.cpp,2519,92,31,1
js/src/jsdbgapi.cpp,2482,448,45,1
content/xbl/src/nsXBLBinding.cpp,2401,57,25,1
js/src/jsscript.h,2349,369,34,1
js/src/jscntxt.h,2317,752,56,1
modules/libpr0n/src/imgContainer.cpp,2241,14,6,1
js/src/jslock.cpp,2164,68,27,1
content/base/src/nsDocument.h,2137,162,40,1
gfx/thebes/src/gfxFont.cpp,2017,6,3,1
layout/style/nsCSSValue.h,2007,44,15,1
js/src/vm/Stack.cpp,1914,184,26,1
embedding/components/windowwatcher/src/nsWindowWatcher.cpp,1905,41,25,1
widget/src/cocoa/nsChildView.mm,1807,153,35,1
js/src/xpconnect/src/xpcquickstubs.cpp,1679,73,20,1
modules/libpr0n/src/imgRequestProxy.cpp,1639,25,11,1
layout/generic/nsImageFrame.cpp,1638,131,39,1
gfx/thebes/src/gfxTextRunWordCache.cpp,1634,2,2,1
netwerk/cookie/nsCookieService.cpp,1613,88,23,1
js/src/jsxdrapi.cpp,1611,66,18,1
content/xbl/src/nsBindingManager.cpp,1385,46,20,1
security/nss/lib/ssl/ssl3con.c,1382,14,3,1
layout/xul/base/src/nsTextBoxFrame.cpp,1350,60,16,1
js/src/xpconnect/src/xpccomponents.cpp,1270,94,32,1
modules/libpr0n/src/RasterImage.cpp,1177,88,22,1
layout/forms/nsTextControlFrame.cpp,1112,94,26,1
layout/base/nsBidiPresUtils.cpp,1096,95,16,1
js/src/jsxml.cpp,1041,364,41,1
content/base/src/nsXMLHttpRequest.cpp,1019,166,44,1
js/src/json.cpp,1015,175,24,1
editor/libeditor/base/nsEditor.cpp,1001,179,30,1
parser/htmlparser/src/nsScanner.cpp,921,12,8,1
widget/src/windows/nsWinGesture.cpp,909,13,8,1
content/xbl/src/nsXBLService.cpp,909,53,24,1
dom/src/base/nsDOMClassInfo.cpp,865,0,0,1
widget/src/cocoa/nsNativeThemeCocoa.mm,843,57,24,1
dom/src/base/nsGlobalWindow.cpp,827,0,0,1
content/xul/templates/src/nsXULTemplateBuilder.cpp,827,32,15,1
js/src/xpconnect/src/xpcstack.cpp,804,8,5,1
content/base/src/nsImageLoadingContent.cpp,772,64,27,1
js/src/jscompartment.h,736,275,31,1
xpcom/string/src/nsSubstring.cpp,703,14,6,1
layout/build/nsLayoutModule.cpp,694,149,54,1
content/base/src/nsGenericDOMDataNode.cpp,687,93,26,1
js/src/jsopcode.tbl,674,161,23,1
layout/style/nsCSSLoader.cpp,670,8,3,1
dom/base/nsBarProps.cpp,653,12,8,1
content/base/src/nsContentSink.cpp,612,68,27,1
js/src/jsmath.cpp,610,88,18,1
security/nss/lib/pk11wrap/debug_module.c,521,6,2,1
js/src/methodjit/FrameState.cpp,519,301,23,1
content/media/nsMediaCache.cpp,495,61,18,1
editor/libeditor/text/nsPlaintextEditor.cpp,470,70,12,1
content/base/src/nsObjectLoadingContent.cpp,453,114,35,1
layout/base/nsRefreshDriver.cpp,445,50,14,1
js/src/jsexn.cpp,443,223,35,1
accessible/src/base/nsAccessible.cpp,440,198,36,1
storage/src/mozStorageAsyncStatementExecution.cpp,437,24,11,1
js/src/frontend/BytecodeEmitter.cpp,436,184,21,1
netwerk/cookie/src/nsCookieService.cpp,435,9,5,1
netwerk/base/src/nsURLHelper.cpp,430,12,7,1
modules/libpr0n/decoders/icon/win/nsIconChannel.cpp,413,26,11,1
layout/generic/nsInlineFrame.cpp,406,54,16,1
layout/forms/nsTextControlFrame.h,401,31,16,1
modules/libpr0n/decoders/png/nsPNGDecoder.cpp,394,9,4,1
gfx/thebes/gfxDWriteFontList.cpp,394,39,13,1
security/nss/lib/softoken/pkcs11.c,360,6,2,1
modules/libpr0n/decoders/nsJPEGDecoder.cpp,360,38,10,1
netwerk/base/src/nsURLParsers.cpp,355,7,6,1
security/nss/lib/ssl/sslsock.c,355,14,3,1
content/canvas/src/nsCanvasRenderingContext2D.cpp,354,240,63,1
content/xml/document/src/nsXMLDocument.cpp,343,46,21,1
editor/libeditor/text/nsTextEditRules.cpp,316,54,14,1
modules/libpr0n/decoders/jpeg/nsJPEGDecoder.cpp,304,5,4,1
content/base/src/nsDOMAttribute.cpp,298,81,17,1
accessible/src/base/nsDocAccessible.cpp,298,180,29,1
uriloader/base/nsURILoader.cpp,290,10,6,1
intl/uconv/src/nsCharsetConverterManager.cpp,277,18,8,1
security/nss/lib/pkcs12/p12d.c,275,4,2,1
layout/xul/base/src/nsMenuFrame.cpp,268,32,17,1
security/nss/lib/certdb/certdb.c,262,8,3,1
modules/libimg/png/pngrutil.c,258,4,1,1
gfx/cairo/cairo/src/cairo-bentley-ottmann-rectangular.c,235,4,2,1
netwerk/protocol/websocket/WebSocketChannel.cpp,226,43,7,1
editor/libeditor/html/nsHTMLEditRules.cpp,221,83,18,1
content/xul/templates/src/nsXULTreeBuilder.cpp,216,22,14,1
accessible/src/base/NotificationController.cpp,211,56,12,1
layout/style/nsCSSRules.cpp,209,71,15,1
security/nss/lib/pkcs12/p12e.c,207,2,1,1
security/manager/ssl/src/nsNSSCallbacks.cpp,205,55,17,1
js/src/methodjit/BaseAssembler.h,200,188,26,1
js/src/jstracer.h,200,233,30,1
content/html/document/src/nsHTMLFragmentContentSink.cpp,192,36,15,1
content/html/document/src/nsImageDocument.cpp,186,9,8,1
dom/base/nsPluginArray.cpp,185,13,8,1
js/src/ds/LifoAlloc.cpp,183,11,4,1
xpfe/components/intl/nsCharsetMenu.cpp,178,0,0,1
intl/uconv/src/nsUTF8ToUnicode.cpp,172,12,9,1
content/canvas/src/WebGLContextGL.cpp,164,273,29,1
layout/style/nsCSSDeclaration.cpp,157,9,4,1
js/src/jsapi.h,149,631,63,1
security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_infoaccess.c,147,5,3,1
js/src/xpconnect/src/XPCSafeJSObjectWrapper.cpp,147,34,11,1
content/xslt/src/xpath/txMozillaXPathTreeWalker.cpp,140,41,15,1
content/xslt/src/xslt/txMozillaXSLTProcessor.cpp,139,25,15,1
layout/forms/nsComboboxControlFrame.cpp,134,74,27,1
netwerk/protocol/res/src/nsResProtocolHandler.cpp,119,3,3,1
content/xul/document/src/nsXULCommandDispatcher.cpp,119,11,8,1
xpcom/io/nsLocalFileOSX.mm,117,3,3,1
content/xul/templates/src/nsXULTemplateBuilder.h,111,7,4,1
content/xslt/src/xslt/txStylesheetCompileHandlers.cpp,109,18,11,1
content/html/content/src/nsHTMLCanvasElement.cpp,108,89,35,1
modules/libpr0n/decoders/nsPNGDecoder.cpp,102,40,12,1
content/xslt/src/xslt/txExecutionState.cpp,99,8,6,1
layout/style/nsFontFaceLoader.cpp,99,40,13,1
js/xpconnect/src/xpcprivate.h,98,146,29,1
dom/base/nsMimeTypeArray.cpp,97,11,7,1
content/svg/content/src/nsSVGFilters.cpp,94,86,27,1
layout/xul/base/src/tree/src/nsTreeSelection.cpp,93,15,7,1
js/xpconnect/src/XPCWrappedJS.cpp,88,16,6,1
js/src/xpconnect/loader/mozJSSubScriptLoader.cpp,86,40,14,1
security/nss/lib/smime/cmssiginfo.c,83,4,3,1
intl/uconv/src/nsScriptableUConv.cpp,83,15,7,1
netwerk/cookie/src/nsCookieService.h,82,4,1,1
editor/libeditor/html/nsHTMLDataTransfer.cpp,80,72,21,1
gfx/layers/Layers.cpp,78,78,21,1
content/xslt/src/xpath/txCoreFunctionCall.cpp,77,15,9,1
modules/libpr0n/decoders/nsGIFDecoder2.cpp,77,41,10,1
gfx/thebes/gfxGDIFontList.cpp,77,52,16,1
editor/libeditor/text/nsEditorEventListeners.cpp,75,0,0,1
security/nss/lib/softoken/legacydb/keydb.c,72,2,2,1
layout/xul/base/src/tree/src/nsTreeContentView.cpp,71,30,17,1
uriloader/exthandler/win/nsMIMEInfoWin.cpp,67,14,6,1
security/nss/lib/util/secoid.c,66,3,2,1
intl/uconv/util/nsUnicodeDecodeHelper.cpp,61,6,4,1
intl/uconv/src/nsConverterInputStream.cpp,60,7,5,1
gfx/thebes/src/gfxFontUtils.cpp,57,4,3,1
widget/src/windows/nsUXThemeData.cpp,56,33,11,1
editor/composer/src/nsEditingSession.cpp,55,28,9,1
content/xslt/src/xpath/txXPathTreeWalker.h,52,13,8,1
content/xslt/src/xslt/txStylesheetCompiler.cpp,50,18,13,1
security/nss/lib/ssl/ssl3gthr.c,48,4,3,1
modules/libpr0n/src/Decoder.h,42,28,6,1
js/src/jsregexp.h,41,52,15,1
content/base/src/nsDOMDocumentType.cpp,40,29,11,1
security/nss/lib/ssl/sslauth.c,37,3,2,1
media/libvorbis/lib/vorbis_floor1.c,34,10,6,1
dom/src/geolocation/nsGeolocation.cpp,34,63,23,1
content/canvas/src/WebGLContext.h,33,205,31,1
content/html/document/src/nsHTMLDocument.h,32,58,22,1
layout/generic/nsFrameSetFrame.cpp,31,49,21,1
netwerk/streamconv/converters/nsIndexedToHTML.cpp,30,13,7,1
security/nss/lib/freebl/ldvector.c,29,4,3,1
security/nss/lib/certhigh/certhtml.c,26,2,2,1
netwerk/mime/nsMIMEHeaderParamImpl.cpp,26,31,11,1
editor/libeditor/text/nsPlaintextDataTransfer.cpp,26,34,8,1
netwerk/dns/src/nsEffectiveTLDService.cpp,25,1,1,1
modules/oji/src/ProxyJNI.cpp,24,0,0,1
layout/generic/nsFrame.h,24,48,18,1
dom/src/threads/nsDOMWorker.cpp,24,52,22,1
gfx/thebes/src/gfxUserFontSet.cpp,23,0,0,1
embedding/components/windowwatcher/src/nsPromptService.cpp,23,2,2,1
security/nss/lib/certhigh/certreq.c,21,1,1,1
content/xslt/src/xpath/txFunctionCall.cpp,21,5,3,1
content/base/src/nsNodeUtils.h,21,23,11,1
modules/libpr0n/src/imgRequestProxy.h,18,20,9,1
security/nss/lib/ssl/sslinfo.c,17,3,2,1
content/smil/nsSMILAnimationController.cpp,17,33,10,1
js/src/liveconnect/nsCLiveconnect.cpp,16,0,0,1
editor/libeditor/base/nsEditor.h,16,75,17,1
layout/svg/base/src/nsSVGGlyphFrame.cpp,16,91,22,1
layout/generic/nsColumnSetFrame.cpp,15,40,12,1
content/html/content/src/nsHTMLFrameSetElement.cpp,14,16,11,1
content/xml/document/src/nsXMLFragmentContentSink.cpp,14,26,12,1
content/svg/content/src/nsSVGPathElement.cpp,14,38,15,1
security/nss/lib/softoken/sdb.c,12,2,2,1
intl/uconv/ucvja/nsJapaneseToUnicode.cpp,11,10,4,1
layout/xul/base/src/nsMenuFrame.h,11,16,10,1
content/base/src/nsTextFragment.h,11,40,14,1
layout/svg/base/src/nsSVGImageFrame.cpp,11,60,16,1
accessible/src/base/nsDocAccessible.h,10,73,12,1
layout/mathml/nsMathMLTokenFrame.cpp,9,17,9,1
modules/libpr0n/decoders/nsBMPDecoder.cpp,9,37,12,1
netwerk/streamconv/converters/nsDirIndexParser.cpp,8,10,6,1
dom/src/base/nsDOMWindowUtils.cpp,7,0,0,1
content/xslt/src/xpath/txExpr.h,7,5,3,1
content/base/src/nsNodeIterator.cpp,7,10,6,1
layout/generic/nsFirstLetterFrame.cpp,7,21,11,1
dom/src/base/nsDOMClassInfo.h,6,0,0,1
xpcom/string/src/nsPrintfCString.cpp,6,0,0,1
layout/style/nsCSSLoader.h,6,1,1,1
media/libogg/src/ogg_framing.c,6,4,3,1
netwerk/streamconv/converters/nsTXTToHTMLConv.cpp,6,7,5,1
intl/uconv/ucvlatin/nsUCS2BEToUnicode.cpp,6,8,5,1
content/xslt/src/xpath/txXPCOMExtensionFunction.cpp,6,16,9,1
layout/inspector/src/inDOMUtils.cpp,6,35,16,1
js/src/jsweakmap.cpp,6,66,19,1
gfx/thebes/src/woff.c,5,1,1,1
security/nss/lib/ssl/sslreveal.c,5,3,2,1
content/xslt/src/xslt/txNodeSorter.cpp,5,10,7,1
content/svg/content/src/nsSVGNumberList.cpp,4,1,1,1
docshell/base/nsDocShellEnumerator.cpp,4,6,4,1
content/svg/content/src/DOMSVGAnimatedLengthList.cpp,4,9,5,1
content/xslt/src/xslt/txFormatNumberFunctionCall.cpp,4,9,7,1
widget/src/windows/nsUXThemeData.h,4,19,9,1
js/src/jsval.h,4,124,25,1
gfx/layers/d3d10/ReadbackManagerD3D10.cpp,3,4,2,1
content/smil/nsSMILTimedElement.cpp,3,62,9,1
content/svg/content/src/nsSVGPathSegList.cpp,2,0,0,1
content/base/src/nsStubMutationObserver.cpp,2,1,1,1
media/libogg/src/ogg_bitwise.c,2,4,3,1
dom/base/nsMimeTypeArray.h,2,6,4,1
content/svg/content/src/DOMSVGLengthList.cpp,2,18,10,1
content/svg/content/src/DOMSVGPathSegList.cpp,2,30,11,1
js/src/liveconnect/jsj_JavaObject.c,1,0,0,1
content/svg/content/src/nsSVGValue.cpp,1,0,0,1
content/svg/content/src/nsSVGTextContentElement.cpp,1,2,2,1
xpcom/io/Base64.cpp,1,3,3,1
widget/src/windows/nsWinGesture.h,1,5,4,1
content/svg/content/src/DOMSVGAnimatedNumberList.cpp,1,7,4,1
gfx/angle/src/compiler/Types.h,1,7,4,1
layout/forms/nsIsIndexFrame.cpp,1,12,8,1
content/svg/content/src/DOMSVGNumberList.cpp,1,17,9,1
